Assembly	Orig_k55	Orig_k65	Gentle_k55	Gentle_k65	Gentle_k75
# contigs (>= 0 bp)	75	42	72	26	13
# contigs (>= 1000 bp)	0	0	0	0	0
# contigs (>= 5000 bp)	0	0	0	0	0
# contigs (>= 10000 bp)	0	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0	0
Total length (>= 0 bp)	13979	9872	13626	8160	5772
Total length (>= 1000 bp)	0	0	0	0	0
Total length (>= 5000 bp)	0	0	0	0	0
Total length (>= 10000 bp)	0	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0	0
# contigs	1	2	1	3	6
Largest contig	593	512	593	601	780
Total length	593	1021	593	1622	3519
GC (%)	45.53	42.70	45.53	42.91	44.16
N50	593	512	593	512	533
N90	593	509	593	509	520
auN	593.0	510.5	593.0	544.0	601.4
L50	1	1	1	2	3
L90	1	2	1	3	6
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00
