"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"DDX11L1",0.0175092922781874,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"DDX11L1"
"WASH7P",0.524472040091331,1.06695186263671,0.943053105354832,1.1313804668882,0.257894989269013,NA,"WASH7P"
"MIR6859-1",0.69967398968771,0.261959677931227,0.904876193563535,0.289497811738854,0.772200454217242,NA,"MIR6859-1"
"MIR1302-2HG",0.0700214230301929,0.246781032816639,3.21444838169124,0.0767724360491358,0.938804578850091,NA,"MIR1302-2HG"
"MIR1302-2",0,NA,NA,NA,NA,NA,"MIR1302-2"
"FAM138A",0,NA,NA,NA,NA,NA,"FAM138A"
"ENSG00000268020",0,NA,NA,NA,NA,NA,"ENSG00000268020"
"OR4G11P",0,NA,NA,NA,NA,NA,"OR4G11P"
"OR4F5",0,NA,NA,NA,NA,NA,"OR4F5"
"ENSG00000238009",1.0661835336048,-1.24330171433166,0.882339351781931,-1.4090969781873,0.158806494273837,NA,"ENSG00000238009"
"ENSG00000239945",0,NA,NA,NA,NA,NA,"ENSG00000239945"
"CICP27",0.104768518006024,0.109387068794932,2.19040049640982,0.0499393005864557,0.960170759020459,NA,"CICP27"
"ENSG00000268903",12.6289996649994,-0.636833814343935,0.61504959364343,-1.03541864091229,0.30047344391309,0.999975617694874,"ENSG00000268903"
"ENSG00000269981",19.5662614843274,-1.00623779675582,0.629735277125672,-1.59787427083431,0.110070961212851,0.999975617694874,"ENSG00000269981"
"ENSG00000239906",0,NA,NA,NA,NA,NA,"ENSG00000239906"
"ENSG00000241860",9.66236275412538,-0.85701456921565,0.528234059103722,-1.62241444762154,0.104714637734951,0.999975617694874,"ENSG00000241860"
"RNU6-1100P",0,NA,NA,NA,NA,NA,"RNU6-1100P"
"ENSG00000241599",0,NA,NA,NA,NA,NA,"ENSG00000241599"
"ENSG00000279928",0.401678936949525,-0.797445419884478,1.47870386622427,-0.539286761940158,0.589689001768936,NA,"ENSG00000279928"
"ENSG00000279457",6.45028711960334,-0.321656616049524,0.527435610999124,-0.609850016460224,0.541961165611023,0.999975617694874,"ENSG00000279457"
"MIR6859-2",0,NA,NA,NA,NA,NA,"MIR6859-2"
"ENSG00000228463",3.02365550984204,-0.110980723083782,0.670951625714241,-0.16540793528243,0.868622908255414,0.999975617694874,"ENSG00000228463"
"RPL23AP21",0,NA,NA,NA,NA,NA,"RPL23AP21"
"RPL23AP24",0,NA,NA,NA,NA,NA,"RPL23AP24"
"ENSG00000236743",0,NA,NA,NA,NA,NA,"ENSG00000236743"
"ENSG00000236601",0,NA,NA,NA,NA,NA,"ENSG00000236601"
"ENSG00000237094",2.36053704985143,-0.145371115544198,0.832168423245539,-0.174689535775987,0.861323590582443,0.999975617694874,"ENSG00000237094"
"WBP1LP7",0,NA,NA,NA,NA,NA,"WBP1LP7"
"OR4F29",0,NA,NA,NA,NA,NA,"OR4F29"
"SEPT14P13",0,NA,NA,NA,NA,NA,"SEPT14P13"
"CICP7",0,NA,NA,NA,NA,NA,"CICP7"
"ENSG00000250575",0.0699370906478201,-0.275331404907835,3.21497270724194,-0.085640355293727,0.931752317401191,NA,"ENSG00000250575"
"ENSG00000278757",0.454596688098692,-1.50267323296277,2.03263303387029,-0.739274235891741,0.459740490673971,NA,"ENSG00000278757"
"ENSG00000230021",0.27946670988333,-0.316548286457466,0.973258174094567,-0.325245957221941,0.74499492895399,NA,"ENSG00000230021"
"ENSG00000235146",0.017396665541104,-0.0692352353367703,3.33320894409395,-0.0207713457205996,0.983428055608598,NA,"ENSG00000235146"
"MTND1P23",10.035456007053,-0.216108161604754,0.512797476665434,-0.42142984596968,0.673441228910028,0.999975617694874,"MTND1P23"
"MTND2P28",1102.3910457291,-0.185993928277196,0.436125297229821,-0.426469020390681,0.669766117375148,0.999975617694874,"MTND2P28"
"MTCO1P12",217.652175746727,-1.28142438267369,0.447153878585619,-2.86573469233215,0.00416042757191201,0.407738281683487,"MTCO1P12"
