gene	metal	product	SNP_count
araG	Cd	arabinose ABC transporter ATP binding subunit	17
araH	Cd	arabinose ABC transporter membrane subunit	22
atpC	Cu	ATP synthase F1 complex subunit epsilon	1
chaB	Pb	putative cation transport regulator ChaB	1
dpiA	Cu	DNA-binding transcriptional dual regulator DpiA	9
dpiB	Cu	sensor histidine kinase DpiB	11
lolD	Pb	lipoprotein release complex - ATP binding subunit	20
napB	Cd	periplasmic nitrate reductase cytochrome c550 protein	2
nepI	Cr	purine ribonucleoside exporter	68
nusA	Cu	transcription termination/antitermination protein NusA	9
pagP	Cu	Lipid A palmitoyltransferase	2
