gene	locus_tag	start	end	strand	product
thrL	b0001	189	255	1	thr operon leader peptide
thrA	b0002	336	2799	1	fused aspartate kinase/homoserine dehydrogenase 1
thrB	b0003	2800	3733	1	homoserine kinase
thrC	b0004	3733	5020	1	threonine synthase
yaaX	b0005	5233	5530	1	DUF2502 domain-containing protein YaaX
yaaA	b0006	5682	6459	-1	DNA binding and peroxide stress response protein YaaA
yaaJ	b0007	6528	7959	-1	putative transporter YaaJ
talB	b0008	8237	9191	1	transaldolase B
mog	b0009	9305	9893	1	molybdopterin adenylyltransferase
satP	b0010	9927	10494	-1	acetate/succinate:H(+) symporter
yaaW	b0011	10642	11356	-1	putative enzyme-specific chaperone YaaW
mbiA	b0012	10829	11315	1	uncharacterized protein MbiA
yaaI	b0013	11381	11786	-1	DUF2541 domain-containing protein YaaI
dnaK	b0014	12162	14079	1	chaperone protein DnaK
dnaJ	b0015	14167	15298	1	chaperone protein DnaJ
insL1	b0016	15444	16557	1	IS186/IS421 family transposase
mokC	b0018	16750	16960	-1	regulatory protein MokC
hokC	b4412	16750	16903	-1	small toxic polypeptide HokC
nhaA	b0019	17488	18655	1	Na(+):H(+) antiporter NhaA
nhaR	b0020	18714	19620	1	DNA-binding transcriptional activator NhaR
insB1	b0021	19810	20314	-1	IS1 family protein InsB
insA1	b0022	20232	20508	-1	IS1 family protein InsA
rpsT	b0023	20814	21078	-1	30S ribosomal subunit protein S20
yaaY	b0024	21180	21399	1	DUF2575 domain-containing protein YaaY
ribF	b0025	21406	22348	1	bifunctional riboflavin kinase/FMN adenylyltransferase
ileS	b0026	22390	25207	1	isoleucine--tRNA ligase
lspA	b0027	25206	25701	1	lipoprotein signal peptidase
fkpB	b0028	25825	26275	1	peptidyl-prolyl cis-trans isomerase FkpB
ispH	b0029	26276	27227	1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
rihC	b0030	27292	28207	1	ribonucleoside hydrolase RihC
dapB	b0031	28373	29195	1	4-hydroxy-tetrahydrodipicolinate reductase
carA	b0032	29650	30799	1	carbamoyl-phosphate synthetase small subunit
carB	b0033	30816	34038	1	carbamoyl-phosphate synthetase large subunit
caiF	b0034	34299	34695	1	DNA-binding transcriptional activator CaiF
caiE	b0035	34780	35371	-1	putative transferase CaiE
caiD	b0036	35376	36162	-1	crotonobetainyl-CoA hydratase
